variant,attrs,threads,offered_ops_s,tput_ops_s,loss_pct
otel-log/grpc,0,1,13063848.521070777,631484.3995614216,95.16616869414173
otel-log/noop,0,1,2942352.100350896,,
otel-span/grpc,0,1,7928761.410756271,1053225.4033308334,86.71639429202634
otel-span/noop,0,1,6085553.140267132,,
quent-log/grpc,0,1,9019545.747986125,8608002.83182634,0
quent-log/msgpack,0,1,9356876.47589229,8565408.178509548,0
quent-log/ndjson,0,1,5736567.558876358,5730898.754701776,0
quent-log/noop,0,1,13122369.11671949,,
quent-log/postcard,0,1,6015997.258630369,6013873.814445965,0
quent-span/grpc,0,1,3182006.3649514215,715067.1688012293,0
quent-span/msgpack,0,1,2237474.812060814,2054832.6862502529,0
quent-span/ndjson,0,1,3774460.680240928,2029202.4101624354,0
quent-span/noop,0,1,9321773.141450971,,
quent-span/postcard,0,1,2147043.0770839103,1932426.1923801755,0
tracing-log/file,0,1,1528709.4715280784,1528708.7283774975,0.0000486129375643074
tracing-span/file,0,1,568787.927646417,568787.8095617486,0.00002076075504842123
otel-log/grpc,0,2,17125667.669842612,486656.24287391553,97.15832251182304
otel-log/noop,0,2,7238921.299671007,,
otel-span/grpc,0,2,8133776.283606689,1205954.2831171919,85.17350070781089
otel-span/noop,0,2,5232192.964406681,,
quent-log/grpc,0,2,6856377.11343925,6839934.730470029,0
quent-log/msgpack,0,2,6878950.127477436,6866764.221870398,0
quent-log/ndjson,0,2,6262511.695984266,6260278.300984884,0
quent-log/noop,0,2,11908629.586643666,,
quent-log/postcard,0,2,7562407.091338704,3456049.9604370412,0
quent-span/grpc,0,2,3602054.784947964,725061.7324628371,0
quent-span/msgpack,0,2,3540584.4601032417,2654175.934236188,0
quent-span/ndjson,0,2,3725046.190293381,3127140.385895597,0
quent-span/noop,0,2,10226055.234053493,,
quent-span/postcard,0,2,3903822.340980315,3070533.0331428763,0
tracing-log/file,0,2,2686559.4717974765,2686556.1156168343,0.0001249248593793162
tracing-span/file,0,2,788895.2162054394,788895.0139399011,0.000025639087941620176
otel-log/grpc,0,4,23457425.066721715,641082.8733651609,97.2670364648222
otel-log/noop,0,4,8043167.357480906,,
otel-span/grpc,0,4,7550052.364331929,1066276.6638840362,85.87722823060994
otel-span/noop,0,4,6437457.37055378,,
quent-log/grpc,0,4,5950203.691389151,5930670.374363634,0
quent-log/msgpack,0,4,5848838.973441378,5837387.136016876,0
quent-log/ndjson,0,4,5731664.908344717,5728055.058523467,0
quent-log/noop,0,4,4758261.814001573,,
quent-log/postcard,0,4,5700415.902059193,5694504.956468642,0
quent-span/grpc,0,4,4828953.388505687,686812.8464728924,0
quent-span/msgpack,0,4,4416817.242775733,3028682.882284287,0
quent-span/ndjson,0,4,4675530.317292265,3019451.045471865,0
quent-span/noop,0,4,5672351.574937207,,
quent-span/postcard,0,4,4590196.842375133,3592161.475474866,0
tracing-log/file,0,4,4746485.262075451,3097729.953696351,34.7363410469785
tracing-span/file,0,4,1952554.9264195785,1952554.1372384538,0.00004041787066144664
otel-log/grpc,0,8,26953119.751511645,688485.7085530327,97.4456177433248
otel-log/noop,0,8,4781071.565553398,,
otel-span/grpc,0,8,9445244.028954037,758981.5607698798,91.96440495932926
otel-span/noop,0,8,7015864.138688985,,
quent-log/grpc,0,8,4014974.046454956,4010501.7957292497,0
quent-log/msgpack,0,8,3904410.6184312133,3903427.265543671,0
quent-log/ndjson,0,8,3957199.664468249,3956539.299111962,0
quent-log/noop,0,8,3721293.049976343,,
quent-log/postcard,0,8,3964810.2394935493,3963850.3900084924,0
quent-span/grpc,0,8,4818487.050719599,735465.8102477182,0
quent-span/msgpack,0,8,4584888.22080343,3204237.3193185246,0
quent-span/ndjson,0,8,4627141.919611192,3360204.5079603144,0
quent-span/noop,0,8,3755929.3024882847,,
quent-span/postcard,0,8,4677787.637436646,3848909.524740327,0
tracing-log/file,0,8,7159087.971424243,2959041.127162262,58.667345072816815
tracing-span/file,0,8,3615432.0399800697,2306884.0601714402,36.1934055277068
otel-log/grpc,0,16,26509027.026191633,680201.2648512112,97.43407683662191
otel-log/noop,0,16,4234702.446017701,,
otel-span/grpc,0,16,8179852.845756082,921679.0259940344,88.7323275445936
otel-span/noop,0,16,4762818.191053503,,
quent-log/grpc,0,16,4113986.0468403636,4111455.430656506,0
quent-log/msgpack,0,16,3971793.7269660663,3951880.2541396497,0
quent-log/ndjson,0,16,3935783.9149466543,3927614.1806242913,0
quent-log/noop,0,16,3775770.3001378127,,
quent-log/postcard,0,16,3930746.26485504,3930283.2135947333,0
quent-span/grpc,0,16,4090677.8681316935,688263.6435898384,0
quent-span/msgpack,0,16,4068959.165596122,3246329.1581168636,0
quent-span/ndjson,0,16,4041167.1025567167,3325669.8647799096,0
quent-span/noop,0,16,4046775.136022735,,
quent-span/postcard,0,16,4185581.5275888788,3935615.634490497,0
tracing-log/file,0,16,5495673.95933808,3105233.657245939,43.49676345028399
tracing-span/file,0,16,6101613.749312966,2179464.97933321,64.28051546890174
otel-log/grpc,0,32,25720143.109448273,682029.785844227,97.34826597604084
otel-log/noop,0,32,5970486.773368699,,
otel-span/grpc,0,32,8552885.73188572,555709.6720698258,93.50266460361905
otel-span/noop,0,32,5254522.225735745,,
quent-log/grpc,0,32,4374914.76025454,4371464.228587992,0
quent-log/msgpack,0,32,4355669.07513243,4354950.407131249,0
quent-log/ndjson,0,32,4393537.212205738,4392741.930492441,0
quent-log/noop,0,32,4026287.713003957,,
quent-log/postcard,0,32,4344646.919907534,4343913.307045201,0
quent-span/grpc,0,32,4367619.616844673,752914.2090323399,0
quent-span/msgpack,0,32,3051372.2610735735,2151390.142415778,0
quent-span/ndjson,0,32,4361474.962556084,2601457.90201351,0
quent-span/noop,0,32,4294820.569225382,,
quent-span/postcard,0,32,3517284.6596193668,2484730.893829511,0
tracing-log/file,0,32,4584936.6962031415,3394834.061540277,25.956795339146275
tracing-span/file,0,32,6008965.286072341,2076233.583040636,65.44773543869596
otel-log/grpc,1,1,9051405.547963087,1247244.4172701603,86.22043382476838
otel-log/noop,1,1,2332771.920666999,,
otel-span/grpc,1,1,7498358.918540037,115393.35926788936,98.46108514514323
otel-span/noop,1,1,1916421.1812581373,,
quent-log/grpc,1,1,4622431.839850414,989028.8645121857,0
quent-log/msgpack,1,1,1541026.652004322,1438602.3682216082,0
quent-log/ndjson,1,1,2673834.7934995852,2672717.7888311734,0
quent-log/noop,1,1,11374235.664870225,,
quent-log/postcard,1,1,1596619.404928101,1495857.0354623008,0
quent-span/grpc,1,1,2887533.1577417683,623699.3866103955,0
quent-span/msgpack,1,1,1068976.565390642,871291.2749551294,0
quent-span/ndjson,1,1,2006548.666535894,1849653.297425348,0
quent-span/noop,1,1,8450991.63048438,,
quent-span/postcard,1,1,1203177.3147982352,1082671.583574913,0
tracing-log/file,1,1,1174482.757514651,1174482.2540303087,0.000042868602290191404
tracing-span/file,1,1,464591.64025654254,464591.60518166894,0.0000075496135898411865
otel-log/grpc,1,2,14076039.8086734,1272175.1978283313,90.96212276236643
otel-log/noop,1,2,5726060.047960619,,
otel-span/grpc,1,2,8061830.921695061,118275.87488239263,98.5328906543537
otel-span/noop,1,2,3999126.3428608854,,
quent-log/grpc,1,2,6382150.544317824,1011966.8326372892,0
quent-log/msgpack,1,2,4500465.711567182,3180192.5093281325,0
quent-log/ndjson,1,2,5077580.092352042,3722720.4212803165,0
quent-log/noop,1,2,14345119.063197164,,
quent-log/postcard,1,2,4061993.734045644,2922397.8169466206,0
quent-span/grpc,1,2,3226562.9557268103,579909.7705456021,0
quent-span/msgpack,1,2,2630439.039688364,1768969.476518362,0
quent-span/ndjson,1,2,3130508.0800526636,2445386.7288448955,0
quent-span/noop,1,2,8756080.589021891,,
quent-span/postcard,1,2,2712560.190422159,2001925.560107692,0
tracing-log/file,1,2,1968404.2477947145,1968402.812250799,0.00007292932420188691
tracing-span/file,1,2,848959.6370855119,848959.3675316554,0.000031751080353803474
otel-log/grpc,1,4,24171254.10884127,510062.70642959734,97.88979626736443
otel-log/noop,1,4,9221062.289428398,,
otel-span/grpc,1,4,7531684.979638599,106675.38078031158,98.58364521260911
otel-span/noop,1,4,5459741.7140878225,,
quent-log/grpc,1,4,5834265.551730741,1001254.6812523694,0
quent-log/msgpack,1,4,6419801.7707090825,3782097.5080107474,0
quent-log/ndjson,1,4,5716774.667306724,3575897.0698768636,0
quent-log/noop,1,4,4614869.461056577,,
quent-log/postcard,1,4,5982893.441840883,3777386.4674011697,0
quent-span/grpc,1,4,4528893.308988117,544760.0823796329,0
quent-span/msgpack,1,4,3562482.6367936106,2119614.4178466126,0
quent-span/ndjson,1,4,4373474.212384419,2601667.869693066,0
quent-span/noop,1,4,5855144.292302293,,
quent-span/postcard,1,4,3893894.0202213265,2524464.309083838,0
tracing-log/file,1,4,3790790.2152774977,2491847.3519275817,34.26575435683479
tracing-span/file,1,4,1575473.1772595767,1575437.2370436722,0.0022812331192501034
otel-log/grpc,1,8,27096492.180250417,243072.1956414676,99.10293851313111
otel-log/noop,1,8,4907375.459711585,,
otel-span/grpc,1,8,9358503.283713972,101946.36507256138,98.91065524067324
otel-span/noop,1,8,7311445.497633797,,
quent-log/grpc,1,8,3941993.556925849,1079453.6366791131,0
quent-log/msgpack,1,8,3959419.732942603,3217566.4766407837,0
quent-log/ndjson,1,8,4132084.5110617825,3840085.514096297,0
quent-log/noop,1,8,3480124.0614114106,,
quent-log/postcard,1,8,3970579.814161459,3389484.505300364,0
quent-span/grpc,1,8,4352291.41494872,525773.7681891659,0
quent-span/msgpack,1,8,4285564.052205319,2584537.1240360267,0
quent-span/ndjson,1,8,4494902.370551953,2630497.740112429,0
quent-span/noop,1,8,3717611.190785921,,
quent-span/postcard,1,8,4307630.268538468,2547404.8154230076,0
tracing-log/file,1,8,6630189.441817148,2366834.7259097234,64.30215536554805
tracing-span/file,1,8,3000159.252953386,2204220.0848928113,26.529897280520842
otel-log/grpc,1,16,30071640.872917186,440104.11159105645,98.53648122012717
otel-log/noop,1,16,4128312.0929302373,,
otel-span/grpc,1,16,9283303.488054145,93935.84621351161,98.98812048604907
otel-span/noop,1,16,4759751.031226834,,
quent-log/grpc,1,16,4079416.5474858326,1070186.1773890757,0
quent-log/msgpack,1,16,3994322.805087963,3409814.2159314635,0
quent-log/ndjson,1,16,3953579.2313200994,3633586.776677164,0
quent-log/noop,1,16,3698701.1624353835,,
quent-log/postcard,1,16,3923950.696344291,3502275.387167307,0
quent-span/grpc,1,16,4016146.023503077,549379.9467318951,0
quent-span/msgpack,1,16,4005847.0465128073,2668520.573301598,0
quent-span/ndjson,1,16,3768448.744660666,2541185.6760183987,0
quent-span/noop,1,16,3976015.7979830904,,
quent-span/postcard,1,16,3968122.5871793404,2466889.751124966,0
tracing-log/file,1,16,7245897.558478515,2502560.297490562,65.46238368271871
tracing-span/file,1,16,5558941.25961273,2003610.8096731268,63.95697101119017
otel-log/grpc,1,32,28042136.05755581,308585.7797704512,98.89956393073236
otel-log/noop,1,32,7711773.87055442,,
otel-span/grpc,1,32,8928073.608752796,92759.08090871836,98.96104036577633
otel-span/noop,1,32,8146323.778937855,,
quent-log/grpc,1,32,4265454.831612277,1007824.8052023054,0
quent-log/msgpack,1,32,4195239.859765969,3431924.1046457496,0
quent-log/ndjson,1,32,3804406.02833016,3031508.266125755,0
quent-log/noop,1,32,3999945.5207420075,,
quent-log/postcard,1,32,4147766.719520621,3504290.728910729,0
quent-span/grpc,1,32,3175789.659701911,541084.5069805966,0
quent-span/msgpack,1,32,3382134.1926948503,2063038.5355793277,0
quent-span/ndjson,1,32,4149576.0928962114,2450969.269682346,0
quent-span/noop,1,32,4312752.775022444,,
quent-span/postcard,1,32,4089560.9931521774,2680080.282662493,0
tracing-log/file,1,32,5149339.284156979,2382385.0621315828,53.73416023563471
tracing-span/file,1,32,6731036.307287248,1549088.6592048695,76.98588169064288
otel-log/grpc,2,1,7606366.371962185,842644.0625503359,88.92185806804672
otel-log/noop,2,1,2034557.970160251,,
otel-span/grpc,2,1,6347494.681775384,634157.1205136052,90.00933199149634
otel-span/noop,2,1,2262136.919361454,,
quent-log/grpc,2,1,3288761.1914076773,947827.0024543814,0
quent-log/msgpack,2,1,1309833.982576997,1172498.781718072,0
quent-log/ndjson,2,1,2295740.1107407636,2091633.685298669,0
quent-log/noop,2,1,10415745.090220872,,
quent-log/postcard,2,1,1286493.9720942206,1188040.027418467,0
quent-span/grpc,2,1,2416976.8716498185,529807.534689696,0
quent-span/msgpack,2,1,962388.0498431916,867994.0636011123,0
quent-span/ndjson,2,1,1904608.6998520019,1560944.699091586,0
quent-span/noop,2,1,7676562.855214953,,
quent-span/postcard,2,1,1117295.8239337888,1007427.5330036447,0
tracing-log/file,2,1,1160736.509206582,1160735.991166409,0.000044630298856596085
tracing-span/file,2,1,370943.3494576676,370943.3009540376,0.000013075751348345932
otel-log/grpc,2,2,13801280.278525295,593423.7699481423,95.7002266603374
otel-log/noop,2,2,6130950.487109073,,
otel-span/grpc,2,2,5629433.710324687,572942.104121395,89.82238474412465
otel-span/noop,2,2,3699334.3582376167,,
quent-log/grpc,2,2,5155650.77240542,829266.7188762765,0
quent-log/msgpack,2,2,3077747.4681549086,2201627.4359554504,0
quent-log/ndjson,2,2,4033715.8054927797,2873775.3079633173,0
quent-log/noop,2,2,13422337.92993376,,
quent-log/postcard,2,2,3676663.2818875546,2695866.7642042045,0
quent-span/grpc,2,2,3444601.6717568175,508419.7583666665,0
quent-span/msgpack,2,2,2621542.571697767,1822465.7824622795,0
quent-span/ndjson,2,2,2960501.9568962343,2176300.0685320157,0
quent-span/noop,2,2,8857032.936302956,,
quent-span/postcard,2,2,2371606.880522483,1575261.079242398,0
tracing-log/file,2,2,1867480.79691206,1867480.1377777169,0.00003529537461188781
tracing-span/file,2,2,781413.8914908268,781413.7757806904,0.000014807791071103082
otel-log/grpc,2,4,26184667.34023232,372070.84223747184,98.5790507192513
otel-log/noop,2,4,11834900.627250917,,
otel-span/grpc,2,4,8157970.616703012,561845.4198176999,93.11292665522292
otel-span/noop,2,4,5747950.474853996,,
quent-log/grpc,2,4,5592045.8449115595,922682.7579710096,0
quent-log/msgpack,2,4,5925335.077846785,3456862.0637437487,0
quent-log/ndjson,2,4,7292213.153476049,3563426.8010977744,0
quent-log/noop,2,4,4857182.879635902,,
quent-log/postcard,2,4,6014398.349360402,3663765.424253219,0
quent-span/grpc,2,4,4463377.257607461,513354.0291582393,0
quent-span/msgpack,2,4,3580134.275263081,2160497.9037666465,0
quent-span/ndjson,2,4,3995231.052501871,1953879.5924964102,0
quent-span/noop,2,4,5663674.054923807,,
quent-span/postcard,2,4,3370003.191797423,2070287.2650178277,0
tracing-log/file,2,4,3167608.752576858,2081470.6537727856,34.28889688224584
tracing-span/file,2,4,1505095.5510324473,1505095.1987764176,0.0000234042303426385
otel-log/grpc,2,8,24883499.808509026,1004417.4020789119,95.96352036567039
otel-log/noop,2,8,7073701.479293128,,
otel-span/grpc,2,8,8987576.876923988,96855.63550573391,98.92233872564233
otel-span/noop,2,8,7740055.768882028,,
quent-log/grpc,2,8,3884604.6566072903,923643.573151388,0
quent-log/msgpack,2,8,3819228.0095888134,2902794.4207681646,0
quent-log/ndjson,2,8,3940332.5295875873,3273494.0208510538,0
quent-log/noop,2,8,3416332.3709997633,,
