variant,attrs,threads,offered_ops_s,tput_ops_s,bytes_written,write_bytes_s,loss_pct,call_p50_ns,call_p95_ns,call_p99_ns,drain_ms
quent-dynamic-log/grpc,8,1,291353.7004856483,61938.145309180196,,,0,3165,6048,8544,664.808354
quent-dynamic-log/msgpack,8,1,147034.1377638642,132577.62749282215,83450602,221273656.5201552,0,6105,16289,27742,36.914732
quent-dynamic-log/ndjson,8,1,149195.51875062205,130707.82088383933,98100602,256450318.2962562,0,5985,15166,24998,47.32416466666667
quent-dynamic-log/noop,8,1,975570.4350756005,,,,,945,1004,3755,
quent-dynamic-log/postcard,8,1,144449.34233369728,134287.99844040957,79450602,213385246.34931204,0,6354,11292,15286,26.144701666666663
quent-dynamic-span/grpc,8,1,283910.99404523114,50946.40687455105,,,0,3819,7825,19097,807.6067363333333
quent-dynamic-span/msgpack,8,1,143579.85002615553,128650.00567072381,85300639,219478553.8213273,0,6597,24328,28677,40.428517
quent-dynamic-span/ndjson,8,1,150203.67957859684,131637.18556631458,102700694,270384606.27734584,0,6770,20170,26923,46.92543233333333
quent-dynamic-span/noop,8,1,990591.8516288471,,,,,972,1071,1273,
quent-dynamic-span/postcard,8,1,145742.02641087756,133909.90960700784,81000633,216935748.86280832,0,6579,19450,27899,30.182399
quent-static-log/grpc,8,1,330417.7714537628,60052.08025876046,,,0,1737,6538,9745,697.9874526666666
quent-static-log/msgpack,8,1,189226.95828027543,173361.14643213517,78400602,271832364.87379104,0,4513,9390,24699,24.146494
quent-static-log/ndjson,8,1,161997.448771456,148617.97330345376,86700602,257705355.0685874,0,5700,15878,21779,27.69500533333333
quent-static-log/noop,8,1,1377484.6199573786,,,,,725,737,743,
quent-static-log/postcard,8,1,183185.25958605422,173935.57766365714,77200602,268558626.09704167,0,4518,8790,20246,15.085324666666667
quent-static-span/grpc,8,1,330592.6578767605,86663.51424124044,,,0,3440,7943,19692,490.3002823333333
quent-static-span/msgpack,8,1,165114.37833240753,153191.0429188839,80250639,245873581.66633716,0,5843,16493,22495,22.86537033333333
quent-static-span/ndjson,8,1,176266.14971802107,158703.5402754874,91300694,289794867.34817904,0,6140,12941,21325,30.962141333333335
quent-static-span/noop,8,1,1228764.6820955442,,,,,770,790,1613,
quent-static-span/postcard,8,1,178502.39019617578,164699.07168617376,78750633,259403122.99597123,0,5759,19869,24067,23.095858333333336
quent-dynamic-log/grpc,8,16,3176799.814546078,53781.14880788857,,,0,1887,4978,7431,914.456939
quent-dynamic-log/msgpack,8,16,4315015.301862256,605157.2789101243,83450602,1010014784.5946356,0,1897,4751,9170,70.94329800000001
quent-dynamic-log/ndjson,8,16,4994304.244856443,536755.5294372636,98100602,1053120811.2924858,0,1919,4171,8327,83.06904766666668
quent-dynamic-log/noop,8,16,12818777.661639323,,,,,936,1062,1468,
quent-dynamic-log/postcard,8,16,5802226.77991815,725786.379570437,79450602,1153283295.6054344,0,1784,3580,5152,60.25563066666666
quent-dynamic-span/grpc,8,16,2293399.9611724964,71549.53255397243,,,0,2850,9781,13668,793.2412886666667
quent-dynamic-span/msgpack,8,16,2995430.2638324182,480903.6209907063,85301194,820433061.3886142,0,3347,8564,10908,86.75856233333332
quent-dynamic-span/ndjson,8,16,2407524.544960243,422150.6830093204,102702074,867115013.7114754,0,4411,10178,75485,97.52582566666666
quent-dynamic-span/noop,8,16,13384806.071103835,,,,,976,1138,1173,
quent-dynamic-span/postcard,8,16,3214307.81755197,540690.9398564283,81001098,875931196.140453,0,2889,7789,11962,76.13051466666666
quent-static-log/grpc,8,16,4068504.459549924,61337.642035800214,,,0,1792,5383,7665,807.5957216666666
quent-static-log/msgpack,8,16,4602826.1078569675,773264.6377156106,78400602,1212488262.0443153,0,1891,4849,8009,53.737843999999996
quent-static-log/ndjson,8,16,4710457.081796165,596813.0082358902,86700602,1034880941.9096527,0,1931,7525,14688,65.51493733333334
quent-static-log/noop,8,16,12429312.616592528,,,,,735,1516,2229,
quent-static-log/postcard,8,16,4568120.381257786,819983.4275581985,77200602,1266064284.7503262,0,1777,4344,5618,50.001148
quent-static-span/grpc,8,16,2602086.7936907876,84179.02027785215,,,0,2661,8050,12572,597.8097706666666
quent-static-span/msgpack,8,16,3475243.0840123855,609199.9811188363,80251194,977780517.3912815,0,2785,5922,11738,66.99189133333334
quent-static-span/ndjson,8,16,2778118.0041659283,535019.729284978,91302074,976968218.2927405,0,2783,10389,39155,75.49002466666667
quent-static-span/noop,8,16,15717922.801764121,,,,,777,940,1254,
quent-static-span/postcard,8,16,3716087.226934915,658913.2943208364,78751098,1037802908.2912606,0,2607,7160,10379,61.67750800000001
quent-dynamic-log/grpc,64,1,56088.35927625534,9372.391453068327,,,0,17913,34900,55679,5030.574533666667
quent-dynamic-log/msgpack,64,1,55337.446305442725,36948.82905176257,848950602,627354613.3337784,0,18108,39955,57565,449.8214513333333
quent-dynamic-log/ndjson,64,1,58061.88415992067,35495.13233731845,926900602,658009190.630603,0,15813,39930,90991,547.6908313333332
quent-dynamic-log/noop,64,1,165935.92662086672,,,,,5848,6098,6570,
quent-dynamic-log/postcard,64,1,54985.3228056366,39074.36303777941,820900602,641523362.8095933,0,17018,43106,58140,369.89056766666664
quent-dynamic-span/grpc,64,1,42038.551445631274,12021.81994960396,,,0,23843,52848,60868,4956.601067333333
quent-dynamic-span/msgpack,64,1,51449.2699701509,36736.94218351263,850800639,625116277.6927719,0,19910,41922,55229,388.890601
quent-dynamic-span/ndjson,64,1,57333.510052608675,35429.520440493514,931500694,660052457.5681379,0,18331,41176,64551,539.1569989999999
quent-dynamic-span/noop,64,1,162906.9621202516,,,,,5944,6181,6222,
quent-dynamic-span/postcard,64,1,50646.73872059277,37802.26032049032,822450633,621809858.588361,0,18712,39799,47111,335.25893333333335
quent-static-log/grpc,64,1,71533.46654831503,6612.975647512554,,,0,12664,27924,36425,6925.448806666667
quent-static-log/msgpack,64,1,63720.007764245915,49601.84845629658,807000602,800574431.2908825,0,12171,34785,54131,223.33996966666666
quent-static-log/ndjson,64,1,67748.53376366805,43343.71267309707,848200602,735283263.6447195,0,15911,30510,42750,399.363277
quent-static-log/noop,64,1,246283.9319666433,,,,,3957,4182,5004,
quent-static-log/postcard,64,1,66889.40270225925,52483.160387276825,800700602,840465962.3391021,0,16537,37377,61765,205.09199433333333
quent-static-span/grpc,64,1,76649.38939088261,7197.168468859093,,,0,11083,22065,28738,6641.4641366666665
quent-static-span/msgpack,64,1,46642.09396040227,41557.5362488869,808850639,672276795.0035566,0,20874,42290,53665,131.17968266666665
quent-static-span/ndjson,64,1,72832.74194534398,45728.14511171239,852800694,779939877.7320205,0,13039,36587,56330,406.972023
quent-static-span/noop,64,1,240978.76364371393,,,,,3977,4142,5362,
quent-static-span/postcard,64,1,44851.54704053079,40918.83439845907,802250633,656543215.9557194,0,20985,41437,61063,106.77608766666667
quent-dynamic-log/grpc,64,16,936653.9578298056,6187.290444565267,,,0,10908,37958,129876,8144.137827666666
quent-dynamic-log/msgpack,64,16,935717.9821660813,85676.6715054773,848950602,1454705237.0386238,0,10435,30437,302059,529.167317
quent-dynamic-log/ndjson,64,16,595612.8030272508,60090.85053032776,926900602,1113964910.6250565,0,12469,43922,107845,748.11128
quent-dynamic-log/noop,64,16,2484675.901235918,,,,,6039,6200,7243,
quent-dynamic-log/postcard,64,16,864115.7257911206,93127.12382775953,820900602,1528962240.2547264,0,10543,22477,33896,478.7221643333333
quent-dynamic-span/grpc,64,16,870447.1576093348,6858.039741634729,,,0,11050,30648,50581,7365.067224666668
quent-dynamic-span/msgpack,64,16,832383.4498728387,78993.0110291347,850801194,1344146962.0248592,0,11758,24603,487312,573.3172243333333
quent-dynamic-span/ndjson,64,16,540121.5888179435,59366.23641082357,931502074,1105995446.8451295,0,14237,94813,329617,750.177428
quent-dynamic-span/noop,64,16,2459778.752601663,,,,,6126,6368,6685,
quent-dynamic-span/postcard,64,16,883632.6231403955,96215.0359082066,822451098,1582643238.5362787,0,10957,21266,34689,463.9880973333333
quent-static-log/grpc,64,16,1222553.9719819957,7647.712293111409,,,0,10111,23604,32668,6949.9939540000005
quent-static-log/msgpack,64,16,1297579.627161102,125980.58861123021,807000602,2033328216.9915426,0,9589,23985,29505,358.8345746666667
