variant,attrs,threads,offered_ops_s,tput_ops_s,bytes_written,write_bytes_s,loss_pct,call_p50_ns,call_p95_ns,call_p99_ns,drain_ms
quent-dynamic-log/grpc,8,1,270765.8154467842,126392.36019850621,,,0,3131,6524,9053,320.2517666666667
quent-dynamic-log/msgpack,8,1,142441.0835774317,129160.93995333153,83450602,215571163.87982735,0,6098,12339,29798,36.050164333333335
quent-dynamic-log/ndjson,8,1,149457.35168235985,129656.18792547233,98100602,254387001.77027932,0,6045,17410,27085,51.00985333333333
quent-dynamic-log/noop,8,1,985753.0805823253,,,,,945,1017,2849,
quent-dynamic-log/postcard,8,1,148254.92123965966,136541.2531675954,79450602,216965695.23999724,0,5730,19027,21862,28.63530366666667
quent-dynamic-span/grpc,8,1,282290.72925613914,54695.119883782776,,,0,3582,7682,9866,743.5877770000001
quent-dynamic-span/msgpack,8,1,138822.08026777342,125492.4192590022,85300639,214091671.04897586,0,6824,24805,34654,38.286098333333335
quent-dynamic-span/ndjson,8,1,146093.74745024927,127573.54396862537,102700694,262037830.03234676,0,7052,11952,21273,49.58135633333333
quent-dynamic-span/noop,8,1,987910.7891548113,,,,,984,1063,1162,
quent-dynamic-span/postcard,8,1,148819.65994134286,136287.90813982437,81000633,220788136.59143254,0,6767,13826,20578,30.665915333333334
quent-static-log/grpc,8,1,302742.87531051686,60780.21574752466,,,0,2896,8759,17102,662.70774
quent-static-log/msgpack,8,1,175240.1143816316,164498.7694740468,78400602,257936051.10048985,0,4966,12790,22204,18.80748133333333
quent-static-log/ndjson,8,1,187378.8608293303,168362.1353891901,86700602,291941969.84496576,0,5170,10384,16803,29.545835333333333
quent-static-log/noop,8,1,1377421.0753720673,,,,,724,740,761,
quent-static-log/postcard,8,1,176599.71765922103,170733.11907593417,77200602,263613991.47999606,0,5227,14959,19626,9.686241666666668
quent-static-span/grpc,8,1,316457.55146052776,54499.300209076406,,,0,3989,7561,8484,760.7276363333332
quent-static-span/msgpack,8,1,171804.2515178082,155038.71190688424,80250639,248839114.0052874,0,5758,21299,29451,30.944995666666667
quent-static-span/ndjson,8,1,171116.99314135537,154618.99589987038,91300694,282336432.6248264,0,5940,16467,23338,31.178687666666665
quent-static-span/noop,8,1,1163502.5531219626,,,,,783,915,2704,
quent-static-span/postcard,8,1,161557.9223354619,150531.57129501144,78750633,237089130.5193356,0,5994,21353,25229,22.652837
quent-dynamic-log/grpc,8,16,3326913.961527385,95844.35630494419,,,0,1963,4239,10163,633.7167636666667
quent-dynamic-log/msgpack,8,16,4114974.5223810724,606782.8064875053,83450602,1012727809.6926365,0,1995,4442,7188,69.71777566666667
quent-dynamic-log/ndjson,8,16,4182676.7029047743,536045.9507538145,98100602,1051728609.3722311,0,1915,3178,7651,80.93095566666668
quent-dynamic-log/noop,8,16,14067876.192727545,,,,,932,1040,1104,
quent-dynamic-log/postcard,8,16,4649519.613295269,682953.9539958462,79450602,1085222055.6650054,0,1850,4404,6896,62.28528599999999
quent-dynamic-span/grpc,8,16,2416970.3036434543,67567.9404836837,,,0,2772,7749,14056,722.5848266666666
quent-dynamic-span/msgpack,8,16,2728351.4065785534,457664.1638474979,85301194,780785992.5440642,0,3296,9343,13592,90.02634366666666
quent-dynamic-span/ndjson,8,16,2269713.3586506904,409704.15257564787,102702074,841549323.9186295,0,4700,10855,766978,99.88270833333333
quent-dynamic-span/noop,8,16,13647960.68616546,,,,,970,1074,1083,
quent-dynamic-span/postcard,8,16,3831149.607617667,579126.1250716156,81001098,938197040.2257239,0,2754,7941,10880,73.22395966666666
quent-static-log/grpc,8,16,3800358.644258404,92932.0816374427,,,0,1802,4568,11399,664.2356523333333
quent-static-log/msgpack,8,16,5078525.096036065,803739.5776934093,78400602,1260273334.847781,0,1953,4226,6635,51.982755
quent-static-log/ndjson,8,16,2906879.5613767877,569641.5975254398,86700602,987765388.5939468,0,2329,10005,33227,64.64297833333333
quent-static-log/noop,8,16,9799554.832136087,,,,,756,1737,4314,
quent-static-log/postcard,8,16,4531645.444354911,810691.2358706874,77200602,1251717028.9068213,0,2169,5706,10019,50.64198366666667
quent-static-span/grpc,8,16,2650058.1171042924,70707.52182443457,,,0,2464,6309,12520,727.6704380000001
quent-static-span/msgpack,8,16,3829711.573224857,630525.4643142408,80251194,1012008427.1724442,0,2617,8534,11790,65.89241033333333
quent-static-span/ndjson,8,16,2735922.3793562544,513951.9102759445,91302074,938497506.8891128,0,2921,12218,58699,79.07857966666667
quent-static-span/noop,8,16,15451126.547121467,,,,,778,1189,1251,
quent-static-span/postcard,8,16,3576436.9554787106,644591.4258427132,78751098,1015245650.9299849,0,2612,7100,11584,62.63938866666666
quent-dynamic-log/grpc,64,1,58850.139684858266,9910.156054462313,,,0,16753,27520,37612,4949.083562999999
quent-dynamic-log/msgpack,64,1,53974.13082902997,37286.3171840833,848950602,633084828.3958093,0,19402,45795,72334,414.2682066666667
quent-dynamic-log/ndjson,64,1,51143.8541905807,31804.003675483604,926900602,589583003.0563192,0,18836,38978,44396,594.6215326666666
quent-dynamic-log/noop,64,1,163693.4727250268,,,,,6030,6187,6243,
quent-dynamic-log/postcard,64,1,46194.341332794866,35560.949362851,820900602,583840094.793118,0,21566,45937,56755,321.98060933333335
quent-dynamic-span/grpc,64,1,46414.94378972746,6796.566022315709,,,0,21611,43091,67509,6535.642297333333
quent-dynamic-span/msgpack,64,1,49662.67023200804,36184.319004322555,850800639,615712834.6131495,0,20979,41558,65516,375.07425799999993
quent-dynamic-span/ndjson,64,1,48766.23888076675,32683.990286185403,931500694,608903192.6854192,0,20040,43256,57836,502.82533566666666
quent-dynamic-span/noop,64,1,160579.8944961812,,,,,6143,6235,6279,
quent-dynamic-span/postcard,64,1,54084.11833547676,39826.12341852657,822450633,655100408.310066,0,17080,43385,49946,331.0062073333333
quent-static-log/grpc,64,1,72299.30072599191,9694.452467771613,,,0,13214,27811,37529,6030.585934333333
quent-static-log/msgpack,64,1,60049.80849554029,47619.000763255615,807000602,768571245.6517149,0,17649,37442,47245,206.56700066666667
quent-static-log/ndjson,64,1,55422.04150125213,38022.83625623842,848200602,645019852.0457771,0,16887,37671,51926,410.83511300000004
quent-static-log/noop,64,1,235708.77073948612,,,,,4033,4210,4679,
quent-static-log/postcard,64,1,58855.413521602575,47563.17194309278,800700602,761677208.1572777,0,17125,33403,53643,198.86920866666665
quent-static-span/grpc,64,1,80375.28010407368,6695.146555705491,,,0,13152,23776,28437,7107.264109333334
quent-static-span/msgpack,64,1,46980.43581531861,42008.90915339666,808850639,679578660.2483567,0,19610,40788,52187,124.88786266666666
quent-static-span/ndjson,64,1,68100.99614413605,43459.63050533817,852800694,741248061.1187195,0,14125,28516,47309,414.897739
quent-static-span/noop,64,1,239925.21264243964,,,,,4056,4123,4650,
quent-static-span/postcard,64,1,44158.926058356046,40870.86116536165,802250633,655773484.8233299,0,21959,44913,60531,91.09872266666666
quent-dynamic-log/grpc,64,16,708509.2449747963,6690.286639713992,,,0,9908,31152,47192,7496.013585000001
quent-dynamic-log/msgpack,64,16,858910.8565304942,81865.17070796313,848950602,1389989719.1071613,0,11394,30121,43773,552.3685663333334
