variant,attrs,threads,offered_ops_s,tput_ops_s,bytes_written,write_bytes_s,loss_pct,call_p50_ns,call_p95_ns,call_p99_ns,drain_ms
quent-dynamic-log/bitcode,8,1,220799.10496698422,191839.462752093,76656646,294115398.55545163,0,4178,10931,18012,34.153688
quent-dynamic-log/postcard,8,1,148472.86486850888,136519.40630755178,79450622,216931034.92411423,0,6007,18540,22857,29.388187
quent-dynamic-span/bitcode,8,1,241530.57667922895,201421.96435342764,77718332,313083585.63348085,0,4907,10347,13796,41.175848
quent-dynamic-span/postcard,8,1,153078.29263272198,141880.18495631067,81000653,229847752.5844388,0,5965,19210,25576,25.24458733333333
quent-static-log/bitcode,8,1,290000.3081152287,256546.41100050058,75448661,387121652.38381267,0,2848,9660,16581,22.226727333333333
quent-static-log/postcard,8,1,163571.16549881257,156291.09730588898,77200622,241315398.50154307,0,5493,17677,25990,14.228071333333332
quent-static-span/bitcode,8,1,264398.1027193444,229224.97975601093,76492194,350678443.88001627,0,4608,10083,13450,29.079162999999998
quent-static-span/postcard,8,1,163461.52759921935,151964.46500284775,78750653,239346017.03539816,0,6268,19081,24769,23.16123966666667
quent-dynamic-log/bitcode,8,16,3771546.2046288513,494940.7777920423,76597750,758222007.9446192,0,2751,6412,8349,87.48873300000001
quent-dynamic-log/postcard,8,16,3524320.9861572036,644093.0521889658,79450622,1023471872.445836,0,2200,5641,8309,62.91000533333334
quent-dynamic-span/bitcode,8,16,2091127.2208545648,409574.5862903146,77571569,635433230.6807976,0,4332,10625,25812,98.65404366666667
quent-dynamic-span/postcard,8,16,2656444.1703592553,520468.4467601681,81001118,843170521.425942,0,3670,12288,21060,76.98082033333334
quent-static-log/bitcode,8,16,2423386.866212491,578850.8718590912,75419016,873097288.2620174,0,2971,11156,72476,60.071889666666664
quent-static-log/postcard,8,16,3482781.0015647183,716561.5483979568,77200622,1106379944.7521074,0,2742,6177,8555,55.05226199999999
quent-static-span/bitcode,8,16,2230548.5096744583,484091.47287500766,76344995,739160280.8058008,0,3701,10545,16595,80.80788600000001
quent-static-span/postcard,8,16,2692450.4532934246,605895.9162679595,78751118,954299615.954724,0,3357,8932,14480,63.84573733333334
quent-dynamic-log/bitcode,64,1,76397.01146829384,38612.23843113903,809078284,624806472.2803377,0,6135,35403,53809,640.2648049999999
quent-dynamic-log/postcard,64,1,60361.88546172319,43173.2584611423,820900622,708819094.4903694,0,6413,39301,50042,329.22386566666665
quent-dynamic-span/bitcode,64,1,56232.11975561525,44143.55026769805,810136766,715246261.7161946,0,20799,33992,40543,243.48573033333332
quent-dynamic-span/postcard,64,1,46120.21294906042,36008.556275227595,822450653,592305212.4429637,0,22329,43041,62565,304.89326066666666
quent-static-log/bitcode,64,1,86625.5900053757,40759.28320223351,789792293,643827264.1413149,0,10053,24747,38750,628.2011466666667
quent-static-log/postcard,64,1,59566.33426448248,48893.58543618167,800700622,782982485.4112161,0,16577,38836,57437,183.15517833333334
quent-static-span/bitcode,64,1,77760.18339586967,58630.18597828189,790891283,927402072.7791452,0,5784,26116,29172,209.88724966666666
quent-static-span/postcard,64,1,46336.76783674556,41737.55253939171,802250653,669679575.5869762,0,20528,43931,57371,118.94846266666667
quent-dynamic-log/bitcode,64,16,720238.851144962,49518.4795297558,809078232,801286478.0425552,0,11636,31712,48170,939.6773526666666
quent-dynamic-log/postcard,64,16,779297.7605753845,88720.51404959035,820900622,1456614503.349369,0,12249,31173,47836,499.40291866666666
quent-dynamic-span/bitcode,64,16,722935.546523183,89966.961658308,810137167,1457711587.0998557,0,12890,37199,48304,486.1859156666667
quent-dynamic-span/postcard,64,16,783695.9418161442,96060.17412053,822451118,1580095952.0140913,0,12377,31645,62251,456.819968
quent-static-log/bitcode,64,16,1035811.6863521229,53978.03927583343,789788629,852624845.3740897,0,10309,40304,312479,867.8374216666666
quent-static-log/postcard,64,16,1217225.738455186,130728.60590796483,800700622,2093489521.2740066,0,9570,20747,34486,341.5089663333333
quent-static-span/bitcode,64,16,1122431.349987135,99006.92105586664,790899382,1566090237.080899,0,9994,20355,25774,461.1531466666667
quent-static-span/postcard,64,16,1144482.74080092,161563.14295172863,802251118,2592284241.2123623,0,10194,23973,29822,265.7499686666667
